grafico,serie,n,tempo_s
03_fibonacci_iterativa_vs_matricial,"2. Iterativa — Θ(n) somas · inclinação medida 1,68",1000,3.49704918033e-05
03_fibonacci_iterativa_vs_matricial,"2. Iterativa — Θ(n) somas · inclinação medida 1,68",2000,7.90329059845e-05
03_fibonacci_iterativa_vs_matricial,"2. Iterativa — Θ(n) somas · inclinação medida 1,68",5000,0.000284890000005
03_fibonacci_iterativa_vs_matricial,"2. Iterativa — Θ(n) somas · inclinação medida 1,68",10000,0.000941890909086
03_fibonacci_iterativa_vs_matricial,"2. Iterativa — Θ(n) somas · inclinação medida 1,68",20000,0.00293729999999
03_fibonacci_iterativa_vs_matricial,"2. Iterativa — Θ(n) somas · inclinação medida 1,68",50000,0.0164535000004
03_fibonacci_iterativa_vs_matricial,"2. Iterativa — Θ(n) somas · inclinação medida 1,68",100000,0.0625233000001
03_fibonacci_iterativa_vs_matricial,"2. Iterativa — Θ(n) somas · inclinação medida 1,68",200000,0.2291683
03_fibonacci_iterativa_vs_matricial,"3. Matricial — Θ(log n) produtos · inclinação medida 1,53",1000,7.32525839784e-06
03_fibonacci_iterativa_vs_matricial,"3. Matricial — Θ(log n) produtos · inclinação medida 1,53",2000,1.41879090907e-05
03_fibonacci_iterativa_vs_matricial,"3. Matricial — Θ(log n) produtos · inclinação medida 1,53",5000,7.27699152545e-05
03_fibonacci_iterativa_vs_matricial,"3. Matricial — Θ(log n) produtos · inclinação medida 1,53",10000,0.000217455681826
03_fibonacci_iterativa_vs_matricial,"3. Matricial — Θ(log n) produtos · inclinação medida 1,53",20000,0.000662913333326
03_fibonacci_iterativa_vs_matricial,"3. Matricial — Θ(log n) produtos · inclinação medida 1,53",50000,0.00232931999999
03_fibonacci_iterativa_vs_matricial,"3. Matricial — Θ(log n) produtos · inclinação medida 1,53",100000,0.00719514999992
03_fibonacci_iterativa_vs_matricial,"3. Matricial — Θ(log n) produtos · inclinação medida 1,53",200000,0.0216158000003
